country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,0,0,1950,both,1009623
0,RFP,Request for Proposal,0,0,1951,both,1028429.000000000116415321827
0,RFP,Request for Proposal,0,0,1952,both,1043623
0,RFP,Request for Proposal,0,0,1953,both,1056309
0,RFP,Request for Proposal,0,0,1954,both,1074414
0,RFP,Request for Proposal,0,0,1955,both,1088067
0,RFP,Request for Proposal,0,0,1956,both,1108905
0,RFP,Request for Proposal,0,0,1957,both,1124325
0,RFP,Request for Proposal,0,0,1958,both,1144891
0,RFP,Request for Proposal,0,0,1959,both,1159436
0,RFP,Request for Proposal,0,0,1960,both,1178708
0,RFP,Request for Proposal,0,0,1961,both,1192088
0,RFP,Request for Proposal,0,0,1962,both,1213503
0,RFP,Request for Proposal,0,0,1963,both,1223862
0,RFP,Request for Proposal,0,0,1964,both,1241848
0,RFP,Request for Proposal,0,0,1965,both,1258330
0,RFP,Request for Proposal,0,0,1966,both,1281281
0,RFP,Request for Proposal,0,0,1967,both,1365266
0,RFP,Request for Proposal,0,0,1968,both,1349341
0,RFP,Request for Proposal,0,0,1969,both,1367484
0,RFP,Request for Proposal,0,0,1970,both,1353093
0,RFP,Request for Proposal,0,0,1971,both,1348194
0,RFP,Request for Proposal,0,0,1972,both,1342554
0,RFP,Request for Proposal,0,0,1973,both,1340501
0,RFP,Request for Proposal,0,0,1974,both,1339600
0,RFP,Request for Proposal,0,0,1975,both,1336292
0,RFP,Request for Proposal,0,0,1976,both,1324372
0,RFP,Request for Proposal,0,0,1977,both,1323237
0,RFP,Request for Proposal,0,0,1978,both,1340233
0,RFP,Request for Proposal,0,0,1979,both,1367415
0,RFP,Request for Proposal,0,0,1980,both,1396900
0,RFP,Request for Proposal,0,0,1981,both,1426312
0,RFP,Request for Proposal,0,0,1982,both,1461820
0,RFP,Request for Proposal,0,0,1983,both,1493543
0,RFP,Request for Proposal,0,0,1984,both,1523712
0,RFP,Request for Proposal,0,0,1985,both,1570962
0,RFP,Request for Proposal,0,0,1986,both,1624115
0,RFP,Request for Proposal,0,0,1987,both,1655601
0,RFP,Request for Proposal,0,0,1988,both,1688589
0,RFP,Request for Proposal,0,0,1989,both,1722714
0,RFP,Request for Proposal,0,0,1990,both,1773185
0,RFP,Request for Proposal,0,0,1991,both,1838523
