country_code_numeric,country_code,country,age_from,age_to,year,gender,value
0,RFP,Request for Proposal,10,14,1950,both,0.012359000000000000194
0,RFP,Request for Proposal,15,19,1950,both,0.121779999999999999361
0,RFP,Request for Proposal,20,24,1950,both,0.242703000000000002068
0,RFP,Request for Proposal,25,29,1950,both,0.283829999999999971205
0,RFP,Request for Proposal,30,34,1950,both,0.259699000000000013166
0,RFP,Request for Proposal,35,39,1950,both,0.197090000000000015179
0,RFP,Request for Proposal,40,44,1950,both,0.11965000000000000635
0,RFP,Request for Proposal,45,49,1950,both,0.044122999999999995557
0,RFP,Request for Proposal,50,54,1950,both,0.003018999999999999982
0,RFP,Request for Proposal,10,14,1955,both,0.011662000000000000491
0,RFP,Request for Proposal,15,19,1955,both,0.121950000000000002842
0,RFP,Request for Proposal,20,24,1955,both,0.241377000000000008217
0,RFP,Request for Proposal,25,29,1955,both,0.282891999999999976811
0,RFP,Request for Proposal,30,34,1955,both,0.258506999999999986795
0,RFP,Request for Proposal,35,39,1955,both,0.197833000000000008844
0,RFP,Request for Proposal,40,44,1955,both,0.118633000000000002339
0,RFP,Request for Proposal,45,49,1955,both,0.045082999999999998075
0,RFP,Request for Proposal,50,54,1955,both,0.00312999999999999997
0,RFP,Request for Proposal,10,14,1960,both,0.016899000000000000826
0,RFP,Request for Proposal,15,19,1960,both,0.14891599999999999282
0,RFP,Request for Proposal,20,24,1960,both,0.236047000000000006814
0,RFP,Request for Proposal,25,29,1960,both,0.271536999999999972832
0,RFP,Request for Proposal,30,34,1960,both,0.250064000000000008495
0,RFP,Request for Proposal,35,39,1960,both,0.189338000000000006295
0,RFP,Request for Proposal,40,44,1960,both,0.113969000000000000861
0,RFP,Request for Proposal,45,49,1960,both,0.043938999999999998891
0,RFP,Request for Proposal,50,54,1960,both,0.003000999999999999761
0,RFP,Request for Proposal,10,14,1965,both,0.020036999999999999256
0,RFP,Request for Proposal,15,19,1965,both,0.166355000000000002869
0,RFP,Request for Proposal,20,24,1965,both,0.250093999999999982986
0,RFP,Request for Proposal,25,29,1965,both,0.261394999999999988471
0,RFP,Request for Proposal,30,34,1965,both,0.240180000000000004601
0,RFP,Request for Proposal,35,39,1965,both,0.181717000000000017401
0,RFP,Request for Proposal,40,44,1965,both,0.11046800000000001063
0,RFP,Request for Proposal,45,49,1965,both,0.042231000000000004646
0,RFP,Request for Proposal,50,54,1965,both,0.002892999999999999738
0,RFP,Request for Proposal,10,14,1970,both,0.019245999999999999219
0,RFP,Request for Proposal,15,19,1970,both,0.166122999999999992893
0,RFP,Request for Proposal,20,24,1970,both,0.264697999999999988852
0,RFP,Request for Proposal,25,29,1970,both,0.265000999999999986567
0,RFP,Request for Proposal,30,34,1970,both,0.234136000000000010779
0,RFP,Request for Proposal,35,39,1970,both,0.182165999999999994596
0,RFP,Request for Proposal,40,44,1970,both,0.113727000000000008639
0,RFP,Request for Proposal,45,49,1970,both,0.045658999999999998198
0,RFP,Request for Proposal,50,54,1970,both,0.003222000000000000038
0,RFP,Request for Proposal,10,14,1975,both,0.023814000000000001833
0,RFP,Request for Proposal,15,19,1975,both,0.18536800000000000499
0,RFP,Request for Proposal,20,24,1975,both,0.268137999999999987466
0,RFP,Request for Proposal,25,29,1975,both,0.278106000000000019856
0,RFP,Request for Proposal,30,34,1975,both,0.240836000000000022281
0,RFP,Request for Proposal,35,39,1975,both,0.179749999999999993117
0,RFP,Request for Proposal,40,44,1975,both,0.118320999999999995622
0,RFP,Request for Proposal,45,49,1975,both,0.056127000000000003277
0,RFP,Request for Proposal,50,54,1975,both,0.004206999999999999802
0,RFP,Request for Proposal,10,14,1980,both,0.017902000000000001245
0,RFP,Request for Proposal,15,19,1980,both,0.166098999999999996646
0,RFP,Request for Proposal,20,24,1980,both,0.283797000000000021469
0,RFP,Request for Proposal,25,29,1980,both,0.288951999999999986635
0,RFP,Request for Proposal,30,34,1980,both,0.257738999999999995882
